regime,ablation,dataset,n,r,brier,brier_ci_lo,brier_ci_hi,cal_slope,cal_slope_ci_lo,cal_slope_ci_hi,cal_intercept,cal_intercept_ci_lo,cal_intercept_ci_hi
HUG,full_11,cross_ext,70,30,0.32816411903536197,0.2588010919866561,0.4030559697121279,0.02231385897487583,-0.021342505002843726,0.06799804953900032,0.45831222409222316,0.4008907909798099,0.5350627336491734
HUG,full_11,CMHA,105,77,0.5771720567235383,0.5320908959654252,0.6185214868997955,0.06377262889769181,0.024180086443231174,0.0976865803954516,0.9268453044522945,0.8044114396690936,1.039741988257088
HUG,sem_NPS,cross_ext,70,30,0.2898049747526239,0.22550322842904455,0.3589230306895465,0.04378430280979696,-0.004457907865220295,0.08953005838721073,0.48579242325248345,0.42203400120948487,0.5610601427085387
HUG,sem_NPS,CMHA,105,77,0.5636119797768334,0.5162304115539007,0.6051711287583719,0.046750335816323825,0.006648624493158694,0.08438090902551695,0.8754134943038663,0.7539498562943278,0.9882509685381851
pex,full_11,cross_ext,118,14,0.26071325721408567,0.22097447941632592,0.3021443072346457,0.07456745856257006,0.014555639022082687,0.13341409166413265,0.11668965163303212,0.09901208203042246,0.13353078109634628
pex,full_11,CMHA,105,77,0.27223133428243756,0.24664305599806088,0.3003569412329919,0.05835978748832879,-0.09232229235211076,0.2221414062547185,0.7398304050995798,0.7258625169072983,0.7728097602250573
pex,sem_NPS,cross_ext,118,14,0.23506143372966043,0.2009233196311855,0.2696716614309839,0.1077886198121687,0.04140279164381443,0.17566177493299426,0.12608928219392365,0.11098726746046024,0.14852318987436977
pex,sem_NPS,CMHA,105,77,0.2736594275654633,0.25172580239982534,0.2959043008528726,0.2150999912571804,0.03232786281047814,0.45107492451735615,0.7931061298869553,0.7409441661546832,0.8706106942372067
